,STATE_UT,DISTRICT,YEAR,MURDER,RAPE,CHILD_DESERTION,UNNATURAL_OFFENCE,CHILD_STEALING,DEFILEMENT,HUMAN_TRAFFICKING,TOTAL_IPC_CRIMES
0,AIRPORTS,TOTAL,2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
1,ARUSHA,TOTAL,2016,64.0,147.0,25.0,37.0,6.0,1.0,0.0,280.0
2,DAR-ES-SALAAM,TOTAL,2016,308.0,1140.0,23.0,420.0,19.0,0.0,18.0,1928.0
3,DODOMA,TOTAL,2016,176.0,279.0,2.0,80.0,3.0,1.0,0.0,541.0
4,GEITA,TOTAL,2016,185.0,132.0,1.0,5.0,8.0,0.0,0.0,331.0
5,IRINGA,TOTAL,2016,97.0,191.0,6.0,32.0,1.0,0.0,0.0,327.0
6,KAGERA,TOTAL,2016,228.0,269.0,14.0,5.0,5.0,0.0,0.0,521.0
7,KASKAZINI PEMBA,TOTAL,2016,1.0,36.0,0.0,2.0,0.0,1.0,0.0,40.0
8,KASKAZINI UNGUJA,TOTAL,2016,3.0,44.0,0.0,12.0,0.0,0.0,0.0,59.0
9,KATAVI,TOTAL,2016,68.0,123.0,3.0,9.0,5.0,0.0,0.0,208.0
10,KIGOMA,TOTAL,2016,140.0,226.0,7.0,21.0,5.0,4.0,12.0,415.0
11,KILIMANJARO,TOTAL,2016,78.0,315.0,16.0,82.0,9.0,5.0,0.0,505.0
12,KUSINI PEMBA,TOTAL,2016,5.0,18.0,0.0,3.0,0.0,0.0,0.0,26.0
13,KUSINI UNGUJA,TOTAL,2016,5.0,43.0,1.0,6.0,0.0,0.0,0.0,55.0
14,LINDI,TOTAL,2016,51.0,209.0,0.0,17.0,1.0,1.0,0.0,279.0
15,MANYARA,TOTAL,2016,95.0,206.0,2.0,34.0,1.0,1.0,1.0,340.0
16,MARA,TOTAL,2016,98.0,227.0,3.0,24.0,14.0,1.0,0.0,367.0
17,MARINE,TOTAL,2016,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
18,MBEYA,TOTAL,2016,173.0,484.0,5.0,41.0,10.0,0.0,2.0,715.0
19,MJINI MAGHARIBI,TOTAL,2016,21.0,324.0,1.0,45.0,0.0,2.0,0.0,393.0
20,MOROGORO,TOTAL,2016,152.0,425.0,2.0,43.0,11.0,0.0,3.0,636.0
21,MTWARA,TOTAL,2016,51.0,153.0,2.0,8.0,12.0,0.0,1.0,227.0
22,MWANZA,TOTAL,2016,173.0,245.0,7.0,30.0,7.0,0.0,0.0,462.0
23,NJOMBE,TOTAL,2016,86.0,166.0,4.0,22.0,1.0,0.0,1.0,280.0
24,PWANI,TOTAL,2016,129.0,408.0,3.0,56.0,7.0,0.0,4.0,607.0
25,RAILWAYS,TOTAL,2016,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
26,RUKWA,TOTAL,2016,90.0,218.0,4.0,10.0,4.0,0.0,2.0,328.0
27,RUVUMA,TOTAL,2016,58.0,209.0,11.0,9.0,3.0,0.0,2.0,292.0
28,SHINYANGA,TOTAL,2016,102.0,252.0,3.0,30.0,19.0,0.0,0.0,406.0
29,SIMIYU,TOTAL,2016,66.0,99.0,1.0,6.0,3.0,0.0,0.0,175.0
30,SINGIDA,TOTAL,2016,109.0,173.0,2.0,22.0,3.0,0.0,0.0,309.0
31,SONGWE,TOTAL,2016,94.0,123.0,1.0,5.0,3.0,1.0,1.0,228.0
32,TABORA,TOTAL,2016,233.0,206.0,2.0,20.0,6.0,0.0,0.0,467.0
33,TANGA,TOTAL,2016,99.0,418.0,7.0,52.0,2.0,0.0,0.0,578.0
34,TANZANIA ZANZIBAR,TOTAL,2016,35.0,465.0,2.0,68.0,0.0,3.0,0.0,573.0
35,TARIME � RORYA,TOTAL,2016,80.0,135.0,1.0,14.0,2.0,0.0,0.0,232.0
36,TAZARA,TOTAL,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,AIRPORTS,TOTAL,2015,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
38,ARUSHA,TOTAL,2015,64.0,147.0,25.0,37.0,6.0,1.0,0.0,280.0
39,DAR-ES-SALAAM,TOTAL,2015,308.0,1140.0,23.0,420.0,19.0,0.0,18.0,1928.0
40,DODOMA,TOTAL,2015,176.0,279.0,2.0,80.0,3.0,1.0,0.0,541.0
41,GEITA,TOTAL,2015,185.0,132.0,1.0,5.0,8.0,0.0,0.0,331.0
42,IRINGA,TOTAL,2015,97.0,191.0,6.0,32.0,1.0,0.0,0.0,327.0
43,KAGERA,TOTAL,2015,228.0,269.0,14.0,5.0,5.0,0.0,0.0,521.0
44,KASKAZINI PEMBA,TOTAL,2015,1.0,36.0,0.0,2.0,0.0,1.0,0.0,40.0
45,KASKAZINI UNGUJA,TOTAL,2015,3.0,44.0,0.0,12.0,0.0,0.0,0.0,59.0
46,KATAVI,TOTAL,2015,68.0,123.0,3.0,9.0,5.0,0.0,0.0,208.0
47,KIGOMA,TOTAL,2015,140.0,226.0,7.0,21.0,5.0,4.0,12.0,415.0
48,KILIMANJARO,TOTAL,2015,78.0,315.0,16.0,82.0,9.0,5.0,0.0,505.0
49,KUSINI PEMBA,TOTAL,2015,5.0,18.0,0.0,3.0,0.0,0.0,0.0,26.0
50,KUSINI UNGUJA,TOTAL,2015,5.0,43.0,1.0,6.0,0.0,0.0,0.0,55.0
51,LINDI,TOTAL,2015,51.0,209.0,0.0,17.0,1.0,1.0,0.0,279.0
52,MANYARA,TOTAL,2015,95.0,206.0,2.0,34.0,1.0,1.0,1.0,340.0
53,MARA,TOTAL,2015,98.0,227.0,3.0,24.0,14.0,1.0,0.0,367.0
54,MARINE,TOTAL,2015,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
55,MBEYA,TOTAL,2015,173.0,484.0,5.0,41.0,10.0,0.0,2.0,715.0
56,MJINI MAGHARIBI,TOTAL,2015,21.0,324.0,1.0,45.0,0.0,2.0,0.0,393.0
57,MOROGORO,TOTAL,2015,152.0,425.0,2.0,43.0,11.0,0.0,3.0,636.0
58,MTWARA,TOTAL,2015,51.0,153.0,2.0,8.0,12.0,0.0,1.0,227.0
59,MWANZA,TOTAL,2015,173.0,245.0,7.0,30.0,7.0,0.0,0.0,462.0
60,NJOMBE,TOTAL,2015,86.0,166.0,4.0,22.0,1.0,0.0,1.0,280.0
61,PWANI,TOTAL,2015,129.0,408.0,3.0,56.0,7.0,0.0,4.0,607.0
62,RAILWAYS,TOTAL,2015,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
63,RUKWA,TOTAL,2015,90.0,218.0,4.0,10.0,4.0,0.0,2.0,328.0
64,RUVUMA,TOTAL,2015,58.0,209.0,11.0,9.0,3.0,0.0,2.0,292.0
65,SHINYANGA,TOTAL,2015,102.0,252.0,3.0,30.0,19.0,0.0,0.0,406.0
66,SIMIYU,TOTAL,2015,66.0,99.0,1.0,6.0,3.0,0.0,0.0,175.0
67,SINGIDA,TOTAL,2015,109.0,173.0,2.0,22.0,3.0,0.0,0.0,309.0
68,SONGWE,TOTAL,2015,94.0,123.0,1.0,5.0,3.0,1.0,1.0,228.0
69,TABORA,TOTAL,2015,233.0,206.0,2.0,20.0,6.0,0.0,0.0,467.0
70,TANGA,TOTAL,2015,99.0,418.0,7.0,52.0,2.0,0.0,0.0,578.0
71,TANZANIA ZANZIBAR,TOTAL,2015,35.0,465.0,2.0,68.0,0.0,3.0,0.0,573.0
72,TARIME � RORYA,TOTAL,2015,80.0,135.0,1.0,14.0,2.0,0.0,0.0,232.0
73,TAZARA,TOTAL,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
