STATE_UT,DISTRICT,YEAR,MURDER,RAPE,CHILD DESERTION,UNNATURAL OFFENCE,DEFILEMENT,TOTAL_IPC_CRIMES
ARUSHA,TOTAL,2019,42,4,3,0,3,52
DAR-ES-SALAAM,TOTAL,2019,47,44,1,0,0,92
DODOMA,TOTAL,2019,13,18,2,0,0,33
GEITA,TOTAL,2019,5,5,1,0,0,11
IRINGA,TOTAL,2019,4,36,4,0,0,44
KAGERA,TOTAL,2019,29,19,6,1,0,55
KATAVI,TOTAL,2019,14,36,8,0,0,58
KIGOMA,TOTAL,2019,11,27,11,1,0,50
KILIMANJARO,TOTAL,2019,55,7,4,0,0,66
LINDI,TOTAL,2019,27,4,3,0,0,34
MANYARA,TOTAL,2019,60,12,0,0,0,72
MARA,TOTAL,2019,0,3,1,0,0,4
MBEYA,TOTAL,2019,13,20,6,0,0,39
MOROGORO,TOTAL,2019,6,28,7,1,0,42
MTWARA,TOTAL,2019,19,2,1,0,0,22
MWANZA,TOTAL,2019,51,7,0,0,1,59
NJOMBE,TOTAL,2019,0,2,0,0,0,2
PWANI,TOTAL,2019,17,25,10,1,2,55
RUKWA,TOTAL,2019,21,41,6,0,0,68
RUVUMA,TOTAL,2019,17,30,10,0,0,57
SHINYANGA,TOTAL,2019,14,15,2,0,0,31
SIMIYU,TOTAL,2019,52,5,1,0,0,58
SINGIDA,TOTAL,2019,1,4,0,0,0,5
SONGWE,TOTAL,2019,3,4,6,3,0,16
TABORA,TOTAL,2019,22,47,0,1,0,70
TANGA,TOTAL,2019,9,21,1,1,0,32
